"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	45909	Suppressed
	"Baldwin County, AL"	"01003"	10	147957	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	28653	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	21199	Suppressed
	"Blount County, AL"	"01009"	Suppressed	52551	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	11256	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20803	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	111625	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	35965	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	24403	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	40683	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	15367	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	27267	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14257	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14416	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	43930	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54536	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13793	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11740	Suppressed
	"Covington County, AL"	"01039"	Suppressed	36901	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13635	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	77443	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49373	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	45377	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	65861	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	68659	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	38035	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	102988	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	18278	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	30891	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	25580	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9893	Suppressed
	"Hale County, AL"	"01065"	Suppressed	17376	Suppressed
	"Henry County, AL"	"01067"	Suppressed	16447	Suppressed
	"Houston County, AL"	"01069"	Suppressed	89940	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53758	Suppressed
	"Jefferson County, AL"	"01073"	24	657518	3.7
	"Lamar County, AL"	"01075"	Suppressed	15446	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	87627	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34698	Suppressed
	"Lee County, AL"	"01081"	Suppressed	118392	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	67677	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	13231	Suppressed
	"Macon County, AL"	"01087"	Suppressed	23563	Suppressed
	"Madison County, AL"	"01089"	Suppressed	286439	Suppressed
